hsa,gene_name,gene_concept
hsa00620,LDHD,gene_197257
hsa00620,GLO1,gene_2739
hsa00620,HAGH,gene_3029
hsa00620,GRHPR,gene_9380
hsa00620,ME2,gene_4200
hsa00620,ME1,gene_4199
hsa00620,PC,gene_5091
hsa00620,MDH1,gene_4190
hsa00620,MDH2,gene_4191
hsa00620,FH,gene_2271
hsa00620,PCK1,gene_5105
hsa00620,PCK2,gene_5106
hsa00620,ACAT1,gene_38
hsa00670,DHFR,gene_1719
hsa00670,SHMT2,gene_6472
hsa00670,SHMT1,gene_6470
hsa00670,GART,gene_2618
hsa00670,AMT,gene_275
hsa00670,MTR,gene_4548
hsa00670,TYMS,gene_7298
hsa00670,MTHFR,gene_4524
hsa00760,PNP,gene_4860
hsa00760,NT5C2,gene_22978
hsa00760,NT5E,gene_4907
hsa00760,ENPP3,gene_5169
hsa00760,CD38,gene_952
hsa00760,NADK,gene_65220
hsa00760,AOX1,gene_316
hsa00790,GCH1,gene_2643
hsa00790,ALPI,gene_248
hsa00790,ALPP,gene_250
hsa00790,ALPG,gene_251
hsa00790,DHFR,gene_1719
hsa00790,FPGS,gene_2356
hsa00790,GGH,gene_8836
hsa00790,PTS,gene_5805
hsa00790,SPR,gene_6697
hsa00790,AKR1B1,gene_231
hsa00790,CBR1,gene_873
hsa00790,QDPR,gene_5860
hsa00790,PCBD1,gene_5092
hsa00790,PAH,gene_5053
hsa00790,TH,gene_7054
hsa00830,ADH1A,gene_124
hsa00830,ADH1B,gene_125
hsa00830,ADH1C,gene_126
hsa00830,ADH5,gene_128
hsa00830,DHRS9,gene_10170
hsa00830,HSD17B6,gene_8630
hsa00830,AOX1,gene_316
hsa00830,ALDH1A1,gene_216
hsa00830,CYP1A1,gene_1543
hsa00830,CYP1A2,gene_1544
hsa00830,CYP2A6,gene_1548
hsa00830,CYP2B6,gene_1555
hsa00830,CYP3A4,gene_1576
hsa00830,CYP3A7,gene_1551
hsa00830,UGT1A4,gene_54657
hsa00860,ALAS1,gene_211
hsa00860,ALAD,gene_210
hsa00860,HMBS,gene_3145
hsa00860,UROS,gene_7390
hsa00860,UROD,gene_7389
hsa00860,CPOX,gene_1371
hsa00860,PPOX,gene_5498
hsa00860,FECH,gene_2235
hsa00860,MMAB,gene_326625
hsa00860,HMOX2,gene_3163
hsa00860,UGT1A4,gene_54657
hsa00860,GUSB,gene_2990
hsa00860,HCCS,gene_3052
hsa00860,CP,gene_1356
hsa00860,HEPH,gene_9843
hsa00860,HEPHL1,gene_341208
hsa00860,FXN,gene_2395
hsa00900,ACAT1,gene_38
hsa00900,HMGCR,gene_3156
hsa00900,MVK,gene_4598
hsa00900,MVD,gene_4597
hsa00900,FDPS,gene_2224
hsa00900,DHDDS,gene_79947
hsa00982,CYP2D6,gene_1565
hsa00982,CYP3A4,gene_1576
hsa00982,CYP2C19,gene_1557
hsa00982,CYP2B6,gene_1555
hsa00982,GSTM1,gene_2944
hsa00982,GSTP1,gene_2950
hsa00982,GSTK1,gene_373156
hsa00982,ADH1A,gene_124
hsa00982,ADH1B,gene_125
hsa00982,ADH1C,gene_126
hsa00982,ADH5,gene_128
hsa00982,ALDH3A1,gene_218
hsa00982,MAOB,gene_4129
hsa00982,MAOA,gene_4128
hsa00982,AOX1,gene_316
hsa00982,UGT1A4,gene_54657
hsa00982,CYP1A2,gene_1544
hsa00982,CYP2E1,gene_1571
hsa00982,CYP2A6,gene_1548
hsa00983,HPRT1,gene_3251
hsa00983,IMPDH1,gene_3614
hsa00983,TPMT,gene_7172
hsa00983,XDH,gene_7498
hsa00983,ITPA,gene_3704
hsa00983,CES1,gene_1066
hsa00983,CES2,gene_8824
hsa00983,UGT1A4,gene_54657
hsa00983,GUSB,gene_2990
hsa00983,CYP3A4,gene_1576
hsa00983,CDA,gene_978
hsa00983,TYMP,gene_1890
hsa00983,DPYD,gene_1806
