hsa,gene_name,gene_concept
hsa00240,NT5C,gene_30833
hsa00240,NT5M,gene_56953
hsa00240,NT5E,gene_4907
hsa00240,UPP1,gene_7378
hsa00240,NT5C3A,gene_51251
hsa00240,CDA,gene_978
hsa00240,RRM1,gene_6240
hsa00240,RRM2B,gene_50484
hsa00240,RRM2,gene_6241
hsa00240,DCTPP1,gene_79077
hsa00240,DCK,gene_1633
hsa00240,DCTD,gene_1635
hsa00240,DTYMK,gene_1841
hsa00240,DUT,gene_1854
hsa00240,TYMP,gene_1890
hsa00240,TK2,gene_7084
hsa00240,TK1,gene_7083
hsa00240,TYMS,gene_7298
hsa00240,DPYD,gene_1806
hsa00240,DPYS,gene_1807
hsa00240,UPB1,gene_51733
hsa00260,SHMT2,gene_6472
hsa00260,SHMT1,gene_6470
hsa00260,AGXT,gene_189
hsa00260,GRHPR,gene_9380
hsa00260,PGAM1,gene_5223
hsa00260,PGAM2,gene_5224
hsa00260,PGAM4,gene_441531
hsa00260,BPGM,gene_669
hsa00260,PHGDH,gene_26227
hsa00260,PSAT1,gene_29968
hsa00260,PSPH,gene_5723
hsa00260,GCAT,gene_23464
hsa00260,ALAS1,gene_211
hsa00260,ALAS2,gene_212
hsa00260,MAOB,gene_4129
hsa00260,MAOA,gene_4128
hsa00260,AOC3,gene_8639
hsa00260,AOC2,gene_314
hsa00260,GLDC,gene_2731
hsa00260,AMT,gene_275
hsa00260,DLD,gene_1738
hsa00260,GCSH,gene_2653
hsa00260,DAO,gene_1610
hsa00260,AGXT2,gene_64902
hsa00260,GATM,gene_2628
hsa00260,GAMT,gene_2593
hsa00260,CHDH,gene_55349
hsa00260,ALDH7A1,gene_501
hsa00260,BHMT,gene_635
hsa00260,DMGDH,gene_29958
hsa00260,PIPOX,gene_51268
hsa00260,SARDH,gene_1757
hsa00260,GNMT,gene_27232
hsa00260,CBS,gene_875
hsa00260,CTH,gene_1491
hsa00260,SDS,gene_10993
hsa00260,SDSL,gene_113675
hsa00260,SRR,gene_63826
hsa00270,CTH,gene_1491
hsa00270,KYAT3,gene_56267
hsa00270,KYAT1,gene_883
hsa00270,CBS,gene_875
hsa00270,BHMT,gene_635
hsa00270,BHMT2,gene_23743
hsa00270,MTR,gene_4548
hsa00270,MAT2B,gene_27430
hsa00270,MAT1A,gene_4143
hsa00270,MAT2A,gene_4144
hsa00270,AMD1,gene_262
hsa00270,SRM,gene_6723
hsa00270,SMS,gene_6611
hsa00270,MTAP,gene_4507
hsa00270,LACC1,gene_144811
hsa00270,MRI1,gene_84245
hsa00270,APIP,gene_51074
hsa00270,ENOPH1,gene_58478
hsa00270,ADI1,gene_55256
hsa00270,TAT,gene_6898
hsa00270,IL4I1,gene_259307
hsa00270,DNMT1,gene_1786
hsa00270,DNMT3A,gene_1788
hsa00270,DNMT3B,gene_1789
hsa00270,AHCYL1,gene_10768
hsa00270,AHCY,gene_191
hsa00270,BCAT2,gene_587
hsa00270,BCAT1,gene_586
hsa00270,AGXT2,gene_64902
hsa00270,GCLC,gene_2729
hsa00270,GCLM,gene_2730
hsa00270,GSS,gene_2937
hsa00270,CDO1,gene_1036
hsa00270,GOT1,gene_2805
hsa00270,GOT2,gene_2806
hsa00270,MPST,gene_4357
hsa00270,TST,gene_7263
hsa00270,LDHA,gene_3939
hsa00270,LDHB,gene_3945
hsa00270,LDHC,gene_3948
hsa00270,MDH1,gene_4190
hsa00270,MDH2,gene_4191
hsa00270,SDS,gene_10993
hsa00270,SDSL,gene_113675
hsa00270,PHGDH,gene_26227
hsa00270,PSAT1,gene_29968
hsa00310,AASS,gene_10157
hsa00310,ALDH7A1,gene_501
hsa00310,AADAT,gene_51166
hsa00310,DHTKD1,gene_55526
hsa00310,DLST,gene_1743
hsa00310,DLD,gene_1738
hsa00310,GCDH,gene_2639
hsa00310,HADHA,gene_3030
hsa00310,EHHADH,gene_1962
hsa00310,ECHS1,gene_1892
hsa00310,HADH,gene_3033
hsa00310,ACAT2,gene_39
hsa00310,ACAT1,gene_38
hsa00310,PIPOX,gene_51268
hsa00310,CAMKMT,gene_79823
hsa00310,KMT2A,gene_4297
hsa00310,KMT2D,gene_8085
hsa00310,KMT2C,gene_58508
hsa00310,KMT2B,gene_9757
hsa00310,KMT2E,gene_55904
hsa00310,SETD1B,gene_23067
hsa00310,SETD1A,gene_9739
hsa00310,SETD7,gene_80854
hsa00310,PRDM9,gene_56979
hsa00310,ASH1L,gene_55870
hsa00310,SMYD2,gene_56950
hsa00310,SMYD3,gene_64754
hsa00310,SMYD1,gene_150572
hsa00310,SUV39H1,gene_6839
hsa00310,SUV39H2,gene_79723
hsa00310,EHMT2,gene_10919
hsa00310,EHMT1,gene_79813
hsa00310,SETDB1,gene_9869
hsa00310,SETDB2,gene_83852
hsa00310,PRDM2,gene_7799
hsa00310,EZH1,gene_2145
hsa00310,EZH2,gene_2146
hsa00310,SETMAR,gene_6419
hsa00310,NSD1,gene_64324
hsa00310,NSD2,gene_7468
hsa00310,NSD3,gene_54904
hsa00310,SETD2,gene_29072
hsa00310,DOT1L,gene_84444
hsa00310,KMT5A,gene_387893
hsa00310,PRDM6,gene_93166
hsa00310,KMT5C,gene_84787
hsa00310,KMT5B,gene_51111
hsa00310,MECOM,gene_2122
hsa00310,PRDM16,gene_63976
hsa00310,TMLHE,gene_55217
hsa00310,ALDH2,gene_217
hsa00310,ALDH3A2,gene_224
hsa00310,ALDH1B1,gene_219
hsa00310,ALDH9A1,gene_223
hsa00310,BBOX1,gene_8424
hsa00310,PLOD1,gene_5351
hsa00310,PLOD2,gene_5352
hsa00310,PLOD3,gene_8985
hsa00310,COLGALT1,gene_79709
hsa00310,COLGALT2,gene_23127
hsa00330,GATM,gene_2628
hsa00330,GAMT,gene_2593
hsa00330,CKM,gene_1158
hsa00330,CKMT1A,gene_548596
hsa00330,CKMT2,gene_1160
hsa00330,CKB,gene_1152
hsa00330,CKMT1B,gene_1159
hsa00330,AZIN2,gene_113451
hsa00330,AGMAT,gene_79814
hsa00330,ODC1,gene_4953
hsa00330,SRM,gene_6723
hsa00330,SMS,gene_6611
hsa00330,AMD1,gene_262
hsa00330,AOC1,gene_26
hsa00330,SMOX,gene_54498
hsa00330,ALDH2,gene_217
hsa00330,ALDH3A2,gene_224
hsa00330,ALDH1B1,gene_219
hsa00330,ALDH7A1,gene_501
hsa00330,ALDH9A1,gene_223
hsa00330,CNDP1,gene_84735
hsa00330,CNDP2,gene_55748
hsa00330,CARNS1,gene_57571
hsa00330,SAT2,gene_112483
hsa00330,SAT1,gene_6303
hsa00330,MAOB,gene_4129
hsa00330,MAOA,gene_4128
hsa00330,NOS1,gene_4842
hsa00330,NOS2,gene_4843
hsa00330,NOS3,gene_4846
hsa00330,ARG2,gene_384
hsa00330,ARG1,gene_383
hsa00330,OAT,gene_4942
hsa00330,PYCR2,gene_29920
hsa00330,PYCR1,gene_5831
hsa00330,PRODH,gene_5625
hsa00330,ALDH4A1,gene_8659
hsa00330,ALDH18A1,gene_5832
hsa00330,LAP3,gene_51056
hsa00330,P4HA2,gene_8974
hsa00330,P4HA3,gene_283208
hsa00330,P4HA1,gene_5033
hsa00330,PRODH2,gene_58510
hsa00330,GOT1,gene_2805
hsa00330,GOT2,gene_2806
hsa00330,HOGA1,gene_112817
hsa00330,DAO,gene_1610
hsa00340,HAL,gene_3034
hsa00340,FTCD,gene_10841
hsa00340,HDC,gene_3067
hsa00340,AOC1,gene_26
hsa00340,ALDH2,gene_217
hsa00340,ALDH3A2,gene_224
hsa00340,ALDH1B1,gene_219
hsa00340,ALDH7A1,gene_501
hsa00340,ALDH9A1,gene_223
hsa00340,ASPA,gene_443
hsa00340,HNMT,gene_3176
hsa00340,MAOB,gene_4129
hsa00340,MAOA,gene_4128
hsa00340,ALDH3B1,gene_221
hsa00340,ALDH3B2,gene_222
hsa00340,ALDH3A1,gene_218
hsa00340,CARNS1,gene_57571
hsa00340,CNDP2,gene_55748
hsa00340,CNDP1,gene_84735
hsa00350,GOT1,gene_2805
hsa00350,GOT2,gene_2806
hsa00350,TAT,gene_6898
hsa00350,IL4I1,gene_259307
hsa00350,HPD,gene_3242
hsa00350,HGD,gene_3081
hsa00350,GSTZ1,gene_2954
hsa00350,FAH,gene_2184
hsa00350,TYR,gene_7299
hsa00350,TH,gene_7054
hsa00350,DCT,gene_1638
hsa00350,TYRP1,gene_7306
hsa00350,DDC,gene_1644
hsa00350,DBH,gene_1621
hsa00350,PNMT,gene_5409
hsa00350,COMT,gene_1312
hsa00350,LRTOMT,gene_220074
hsa00350,MAOB,gene_4129
hsa00350,MAOA,gene_4128
hsa00350,AOC3,gene_8639
hsa00350,AOC2,gene_314
hsa00350,ALDH3B1,gene_221
hsa00350,ALDH3B2,gene_222
hsa00350,ALDH3A1,gene_218
hsa00350,ADH1A,gene_124
hsa00350,ADH1B,gene_125
hsa00350,ADH1C,gene_126
hsa00350,ADH7,gene_131
hsa00350,ADH4,gene_127
hsa00350,ADH5,gene_128
hsa00350,ADH6,gene_130
hsa00350,TPO,gene_7173
hsa00350,AOX1,gene_316
hsa00350,FAHD1,gene_81889
